"2:7,0.55","5:8,0.7","11:7,0.6","22:2,0.54","24:8,0.79","29:8,0.65","36:1,0.8","38:7,0.47","41:3,0.7","46:5,0.35","55:2,0.54","57:3,0.3","66:4,0.49","70:3,0.84","73:2,0.41","82:9,0.46","90:6,0.67","94:5,0.49","97:1,0.41","102:2,0.85","110:6,0.58","120:3,0.67","122:1,0.67"
"2:2,0.42","5:3,0.87","11:6,0.52","22:4,0.66","24:4,0.76","29:7,0.38","36:4,0.64","38:2,0.49","41:9,0.42","46:1,0.58","55:9,0.87","57:3,0.6","66:7,0.44","70:6,0.45","73:4,0.31","82:9,0.65","90:9,0.38","94:7,0.38","97:2,0.68","102:7,0.64","110:7,0.7","120:1,0.55","125:5,0.57"
"2:2,0.63","5:7,0.37","11:3,0.45","22:9,0.39","24:6,0.89","29:7,0.64","36:2,0.7","38:5,0.47","41:6,0.45","46:5,0.36","55:8,0.83","57:3,0.36","66:9,0.82","70:1,0.78","73:6,0.76","82:4,0.63","90:7,0.48","94:5,0.35","97:1,0.69","102:3,0.59","110:1,0.82","120:3,0.77","128:7,0.38"
"2:9,0.87","5:2,0.51","11:3,0.73","22:7,0.6","24:1,0.65","29:6,0.61","36:5,0.58","38:9,0.73","41:2,0.4","46:4,0.5","55:1,0.32","57:4,0.77","66:7,0.89","70:8,0.73","73:5,0.77","86:2,0.39","90:5,0.34","94:8,0.43","97:5,0.74","102:1,0.54","110:7,0.65","121:9,0.44","122:8,0.48"
"2:2,0.42","5:7,0.38","11:7,0.59","22:8,0.89","24:2,0.86","29:4,0.73","36:3,0.39","38:2,0.51","41:8,0.49","46:6,0.84","55:5,0.82","57:6,0.6","66:6,0.81","70:8,0.88","73:1,0.47","86:6,0.4","90:7,0.88","94:1,0.67","97:6,0.9","102:6,0.34","110:7,0.68","121:6,0.69","125:8,0.31"
"2:5,0.63","5:2,0.47","11:4,0.8","22:3,0.49","24:9,0.68","29:5,0.62","36:1,0.89","38:1,0.3","41:7,0.87","46:3,0.87","55:6,0.33","57:5,0.73","66:5,0.65","70:6,0.44","73:5,0.34","86:5,0.62","90:9,0.58","94:7,0.56","97:6,0.77","102:3,0.88","110:6,0.4","121:3,0.59","128:4,0.39"
"2:6,0.58","5:2,0.76","11:6,0.42","22:6,0.3","24:5,0.69","29:9,0.34","36:4,0.65","38:2,0.83","41:2,0.3","46:1,0.78","55:1,0.45","57:6,0.39","66:1,0.88","70:7,0.35","73:6,0.39","86:8,0.62","90:7,0.51","94:2,0.82","97:1,0.51","102:7,0.53","110:9,0.67","120:7,0.43","122:8,0.42"
"2:8,0.32","5:5,0.72","11:3,0.81","22:7,0.86","24:3,0.34","29:4,0.78","36:6,0.7","38:1,0.59","41:6,0.63","46:5,0.5","55:5,0.5","57:5,0.62","66:9,0.37","70:6,0.7","73:3,0.46","86:3,0.4","90:8,0.77","94:3,0.56","97:1,0.86","102:7,0.82","110:3,0.7","120:8,0.44","125:2,0.88"
"2:3,0.41","5:2,0.5","11:4,0.63","22:1,0.61","24:5,0.81","29:4,0.35","36:9,0.32","38:2,0.3","41:6,0.38","46:9,0.36","55:5,0.74","57:1,0.39","66:2,0.89","70:6,0.45","73:7,0.35","86:2,0.65","90:3,0.48","94:4,0.42","97:8,0.77","102:1,0.58","110:8,0.34","120:7,0.53","128:3,0.68"
"2:3,0.87","5:8,0.32","11:3,0.42","22:9,0.6","24:3,0.59","29:4,0.73","36:1,0.84","38:6,0.61","41:4,0.33","46:3,0.48","55:2,0.55","57:8,0.63","66:3,0.73","70:5,0.66","73:2,0.42","81:6,0.4","90:1,0.7","94:3,0.72","97:9,0.46","102:6,0.59","110:8,0.58","121:2,0.53","122:2,0.87"
"2:6,0.8","5:8,0.4","11:3,0.54","22:2,0.87","24:3,0.71","29:3,0.72","36:7,0.87","38:9,0.89","41:3,0.88","46:6,0.49","55:5,0.89","57:8,0.37","66:5,0.84","70:9,0.67","73:2,0.35","81:8,0.45","90:5,0.54","94:6,0.7","97:8,0.36","102:6,0.64","110:8,0.76","121:4,0.8","125:7,0.68"
"2:3,0.66","5:6,0.9","11:9,0.87","22:8,0.36","24:4,0.89","29:8,0.88","36:9,0.83","38:1,0.63","41:1,0.62","46:7,0.89","55:2,0.63","57:4,0.56","66:2,0.55","70:1,0.71","73:5,0.84","81:5,0.71","90:9,0.66","94:7,0.55","97:4,0.57","102:7,0.64","110:3,0.83","121:7,0.69","128:8,0.74"
"2:4,0.56","5:5,0.35","11:6,0.81","22:2,0.85","24:1,0.41","29:5,0.69","36:6,0.35","38:4,0.81","41:2,0.61","46:2,0.58","55:1,0.7","57:5,0.86","66:5,0.64","70:8,0.88","73:3,0.6","81:3,0.37","90:5,0.54","94:3,0.53","97:4,0.43","102:8,0.33","110:6,0.72","120:2,0.78","122:7,0.5"
"2:9,0.51","5:3,0.63","11:2,0.66","22:4,0.42","24:6,0.75","29:9,0.86","36:2,0.79","38:8,0.36","41:4,0.78","46:7,0.37","55:3,0.82","57:6,0.32","66:9,0.37","70:4,0.78","73:1,0.64","81:8,0.76","90:8,0.82","94:9,0.67","97:9,0.8","102:6,0.5","110:5,0.32","120:6,0.31","125:3,0.46"
"2:5,0.33","5:2,0.68","11:6,0.47","22:7,0.69","24:4,0.58","29:8,0.48","36:6,0.73","38:8,0.9","41:5,0.85","46:5,0.67","55:3,0.82","57:2,0.4","66:7,0.58","70:1,0.82","73:6,0.34","81:7,0.65","90:9,0.48","94:6,0.66","97:5,0.51","102:6,0.35","110:7,0.59","120:6,0.66","128:3,0.38"
"2:4,0.63","5:9,0.66","11:2,0.78","22:7,0.8","24:5,0.85","29:1,0.33","36:1,0.42","38:9,0.36","41:1,0.64","46:9,0.52","55:4,0.56","57:1,0.68","66:5,0.48","70:7,0.54","77:2,0.42","82:8,0.89","90:8,0.68","94:4,0.47","97:9,0.55","102:7,0.74","110:7,0.8","121:7,0.84","122:4,0.66"
"2:3,0.69","5:9,0.52","11:9,0.59","22:9,0.58","24:2,0.45","29:2,0.57","36:2,0.38","38:1,0.78","41:3,0.77","46:5,0.32","55:6,0.73","57:1,0.59","66:5,0.36","70:8,0.37","77:5,0.62","82:6,0.43","90:5,0.43","94:6,0.35","97:8,0.78","102:1,0.5","110:2,0.62","121:2,0.62","125:6,0.76"
"2:8,0.64","5:5,0.84","11:9,0.7","22:2,0.47","24:4,0.62","29:7,0.51","36:9,0.72","38:1,0.69","41:4,0.53","46:5,0.4","55:4,0.35","57:3,0.42","66:1,0.46","70:2,0.88","77:1,0.63","82:2,0.64","90:6,0.69","94:9,0.7","97:4,0.7","102:7,0.79","110:9,0.42","121:5,0.61","128:2,0.77"
"2:9,0.61","5:4,0.84","11:1,0.53","22:1,0.37","24:6,0.45","29:3,0.61","36:7,0.47","38:2,0.64","41:2,0.55","46:3,0.73","55:9,0.8","57:8,0.79","66:9,0.5","70:3,0.87","77:3,0.89","82:4,0.73","90:9,0.32","94:4,0.56","97:5,0.67","102:1,0.59","110:2,0.77","120:7,0.7","122:6,0.32"
"2:6,0.46","5:5,0.83","11:6,0.58","22:5,0.74","24:1,0.65","29:3,0.49","36:7,0.49","38:3,0.52","41:7,0.39","46:5,0.46","55:7,0.88","57:1,0.9","66:6,0.3","70:1,0.37","77:9,0.7","82:6,0.44","90:1,0.79","94:9,0.47","97:3,0.35","102:4,0.82","110:5,0.41","120:1,0.4","125:2,0.62"
"2:7,0.6","5:8,0.37","11:2,0.69","22:3,0.56","24:9,0.5","29:3,0.49","36:8,0.8","38:8,0.42","41:9,0.67","46:2,0.3","55:8,0.37","57:7,0.36","66:7,0.5","70:4,0.33","77:1,0.44","82:6,0.84","90:5,0.88","94:7,0.73","97:9,0.84","102:2,0.62","110:1,0.75","120:9,0.37","128:4,0.61"
"2:8,0.84","5:2,0.32","11:5,0.57","22:3,0.55","24:8,0.6","29:9,0.65","36:3,0.62","38:6,0.64","41:8,0.5","46:7,0.32","55:2,0.35","57:9,0.42","66:9,0.64","70:7,0.59","77:5,0.89","86:8,0.42","90:4,0.33","94:5,0.47","97:1,0.32","102:6,0.52","110:3,0.31","121:7,0.71","122:4,0.82"
"2:9,0.62","5:2,0.54","11:8,0.55","22:6,0.71","24:6,0.48","29:1,0.86","36:6,0.41","38:4,0.44","41:2,0.44","46:6,0.65","55:1,0.37","57:2,0.74","66:3,0.61","70:7,0.75","77:8,0.38","86:1,0.77","90:4,0.75","94:6,0.42","97:2,0.62","102:2,0.63","110:5,0.6","121:2,0.47","125:1,0.52"
"2:3,0.54","5:6,0.68","11:4,0.69","22:1,0.57","24:5,0.77","29:5,0.73","36:4,0.5","38:5,0.61","41:5,0.64","46:6,0.82","55:9,0.37","57:4,0.5","66:4,0.8","70:5,0.4","77:1,0.76","86:6,0.75","90:2,0.76","94:2,0.57","97:3,0.85","102:6,0.6","110:8,0.78","121:6,0.7","128:5,0.85"
"2:5,0.89","5:1,0.5","11:4,0.87","22:3,0.38","24:8,0.9","29:7,0.32","36:5,0.68","38:1,0.88","41:5,0.6","46:1,0.67","55:9,0.73","57:2,0.55","66:1,0.44","70:9,0.57","77:4,0.82","86:3,0.41","90:3,0.82","94:6,0.85","97:4,0.58","102:4,0.71","110:4,0.53","120:9,0.6","122:8,0.47"
"2:2,0.56","5:8,0.35","11:3,0.61","22:5,0.75","24:7,0.58","29:3,0.63","36:4,0.79","38:4,0.32","41:2,0.3","46:1,0.56","55:8,0.48","57:2,0.31","66:4,0.45","70:1,0.88","77:2,0.32","86:6,0.79","90:4,0.79","94:8,0.44","97:6,0.63","102:1,0.85","110:1,0.45","120:8,0.46","125:6,0.36"
"2:1,0.62","5:9,0.79","11:9,0.35","22:3,0.32","24:6,0.81","29:2,0.5","36:3,0.84","38:9,0.84","41:7,0.4","46:9,0.81","55:5,0.41","57:3,0.41","66:7,0.65","70:6,0.36","77:8,0.39","86:3,0.68","90:5,0.39","94:7,0.66","97:2,0.44","102:4,0.3","110:8,0.53","120:9,0.63","128:8,0.81"
"2:7,0.85","5:9,0.39","11:5,0.32","22:3,0.6","24:9,0.82","29:4,0.42","36:2,0.8","38:8,0.38","41:5,0.87","46:1,0.6","55:7,0.87","57:9,0.89","66:9,0.33","70:3,0.54","77:6,0.74","81:4,0.48","90:8,0.6","94:8,0.62","97:9,0.57","102:6,0.76","110:9,0.33","121:1,0.83","122:6,0.78"
"2:1,0.6","5:2,0.58","11:8,0.86","22:5,0.7","24:1,0.77","29:8,0.31","36:4,0.32","38:7,0.46","41:7,0.66","46:9,0.42","55:7,0.58","57:4,0.76","66:2,0.63","70:7,0.53","77:5,0.69","81:3,0.65","90:1,0.49","94:4,0.52","97:3,0.4","102:8,0.33","110:5,0.66","121:8,0.81","125:3,0.63"
"2:3,0.53","5:1,0.88","11:6,0.54","22:8,0.4","24:2,0.47","29:5,0.3","36:8,0.51","38:8,0.73","41:8,0.4","46:6,0.46","55:2,0.48","57:5,0.6","66:9,0.37","70:4,0.4","77:2,0.56","81:2,0.66","90:9,0.58","94:8,0.43","97:3,0.62","102:7,0.56","110:5,0.8","121:3,0.35","128:2,0.5"
"2:7,0.74","5:2,0.42","11:1,0.48","22:2,0.62","24:9,0.89","29:3,0.87","36:1,0.35","38:6,0.42","41:5,0.36","46:3,0.56","55:6,0.35","57:5,0.46","66:3,0.74","70:1,0.82","77:8,0.62","81:7,0.31","90:6,0.72","94:6,0.78","97:6,0.71","102:2,0.63","110:2,0.72","120:9,0.6","122:5,0.7"
"2:5,0.45","5:4,0.3","11:1,0.56","22:4,0.36","24:5,0.81","29:9,0.63","36:4,0.55","38:7,0.79","41:1,0.31","46:2,0.59","55:4,0.39","57:3,0.8","66:4,0.89","70:2,0.55","77:1,0.86","81:7,0.7","90:2,0.36","94:9,0.52","97:3,0.46","102:4,0.64","110:7,0.56","120:7,0.58","125:9,0.39"
"2:8,0.65","5:9,0.58","11:4,0.45","22:1,0.82","24:2,0.46","29:5,0.47","36:4,0.6","38:8,0.63","41:8,0.86","46:4,0.67","55:8,0.7","57:5,0.68","66:6,0.88","70:2,0.37","77:7,0.63","81:3,0.63","90:8,0.73","94:3,0.61","97:9,0.5","102:5,0.74","110:4,0.61","120:5,0.71","128:8,0.5"
"2:4,0.6","5:3,0.37","11:7,0.54","22:4,0.85","24:8,0.4","29:7,0.87","36:5,0.68","38:6,0.83","41:5,0.53","46:1,0.64","55:3,0.31","57:1,0.85","66:8,0.55","70:9,0.52","72:8,0.89","82:7,0.68","90:6,0.46","94:5,0.57","97:9,0.48","102:1,0.34","110:5,0.56","121:5,0.81","122:8,0.32"
"2:6,0.31","5:8,0.81","11:3,0.74","22:2,0.32","24:2,0.73","29:1,0.88","36:8,0.46","38:1,0.76","41:9,0.44","46:6,0.34","55:2,0.72","57:9,0.79","66:3,0.36","70:9,0.68","72:3,0.37","82:5,0.34","90:6,0.75","94:2,0.65","97:5,0.88","102:9,0.76","110:3,0.68","121:2,0.65","125:8,0.42"
"2:3,0.49","5:8,0.78","11:9,0.32","22:8,0.6","24:4,0.68","29:4,0.89","36:7,0.46","38:7,0.41","41:3,0.8","46:9,0.44","55:9,0.45","57:7,0.89","66:4,0.68","70:1,0.75","72:6,0.38","82:5,0.54","90:9,0.9","94:4,0.46","97:9,0.82","102:6,0.62","110:4,0.89","121:2,0.46","128:9,0.33"
"2:3,0.39","5:8,0.53","11:6,0.41","22:3,0.83","24:7,0.34","29:3,0.41","36:7,0.58","38:7,0.67","41:6,0.59","46:8,0.7","55:9,0.77","57:2,0.65","66:6,0.5","70:8,0.6","72:4,0.67","82:3,0.47","90:6,0.66","94:9,0.69","97:2,0.59","102:1,0.38","110:3,0.5","120:1,0.44","122:4,0.78"
"2:7,0.48","5:4,0.68","11:4,0.42","22:5,0.83","24:9,0.7","29:3,0.46","36:1,0.74","38:2,0.41","41:3,0.68","46:2,0.48","55:6,0.77","57:5,0.86","66:3,0.88","70:5,0.63","72:2,0.4","82:6,0.34","90:5,0.49","94:4,0.63","97:1,0.55","102:4,0.81","110:4,0.5","120:9,0.54","125:1,0.61"
"2:5,0.57","5:2,0.62","11:6,0.32","22:8,0.76","24:5,0.86","29:7,0.88","36:1,0.62","38:3,0.53","41:5,0.46","46:5,0.38","55:5,0.58","57:1,0.58","66:8,0.71","70:8,0.44","72:9,0.57","82:6,0.64","90:4,0.31","94:7,0.6","97:9,0.82","102:6,0.41","110:4,0.76","120:7,0.36","128:4,0.54"
"2:5,0.45","5:1,0.49","11:6,0.57","22:3,0.75","24:2,0.49","29:8,0.48","36:5,0.73","38:8,0.79","41:1,0.5","46:9,0.34","55:5,0.4","57:8,0.66","66:8,0.86","70:4,0.83","72:6,0.35","86:6,0.63","90:2,0.72","94:1,0.79","97:8,0.38","102:6,0.52","110:9,0.47","121:8,0.54","122:7,0.74"
"2:2,0.8","5:1,0.35","11:8,0.39","22:9,0.49","24:1,0.71","29:5,0.66","36:7,0.32","38:4,0.6","41:3,0.41","46:6,0.7","55:8,0.64","57:2,0.83","66:4,0.83","70:1,0.37","72:5,0.64","86:2,0.43","90:2,0.31","94:7,0.71","97:8,0.62","102:1,0.35","110:6,0.8","121:2,0.33","125:2,0.41"
"2:9,0.47","5:9,0.75","11:1,0.9","22:3,0.55","24:5,0.64","29:8,0.62","36:9,0.59","38:2,0.73","41:8,0.48","46:5,0.43","55:7,0.51","57:9,0.42","66:8,0.74","70:6,0.81","72:8,0.76","86:5,0.89","90:4,0.47","94:3,0.3","97:9,0.78","102:4,0.59","110:4,0.74","121:5,0.45","128:3,0.35"
"2:2,0.62","5:4,0.46","11:5,0.88","22:9,0.58","24:7,0.85","29:6,0.48","36:4,0.48","38:8,0.45","41:8,0.75","46:2,0.59","55:3,0.32","57:6,0.72","66:1,0.39","70:9,0.69","72:2,0.85","86:2,0.54","90:2,0.4","94:9,0.55","97:6,0.85","102:6,0.45","110:3,0.62","120:5,0.49","122:6,0.62"
"2:3,0.77","5:7,0.34","11:7,0.47","22:7,0.59","24:5,0.68","29:6,0.55","36:4,0.54","38:4,0.44","41:6,0.59","46:9,0.46","55:2,0.49","57:2,0.66","66:1,0.32","70:6,0.5","72:2,0.63","86:5,0.66","90:4,0.6","94:3,0.6","97:1,0.31","102:1,0.6","110:3,0.37","120:2,0.38","125:3,0.47"
"2:7,0.38","5:4,0.86","11:9,0.59","22:5,0.35","24:6,0.69","29:3,0.52","36:2,0.32","38:4,0.3","41:4,0.35","46:3,0.68","55:5,0.44","57:5,0.69","66:4,0.52","70:7,0.47","72:2,0.77","86:7,0.84","90:7,0.55","94:6,0.31","97:7,0.43","102:6,0.63","110:8,0.39","120:8,0.84","128:8,0.89"
"2:3,0.66","5:2,0.64","11:2,0.61","22:6,0.75","24:8,0.45","29:5,0.43","36:8,0.61","38:8,0.36","41:5,0.51","46:6,0.56","55:6,0.77","57:8,0.86","66:2,0.73","70:4,0.85","72:9,0.43","81:9,0.77","90:6,0.64","94:2,0.34","97:2,0.36","102:4,0.37","110:2,0.67","121:2,0.36","122:1,0.42"
"2:2,0.5","5:3,0.38","11:3,0.37","22:1,0.7","24:5,0.44","29:7,0.77","36:6,0.65","38:2,0.7","41:9,0.71","46:3,0.42","55:2,0.5","57:8,0.73","66:5,0.71","70:4,0.8","72:5,0.72","81:9,0.59","90:9,0.52","94:9,0.51","97:9,0.5","102:2,0.6","110:1,0.4","121:4,0.46","125:5,0.68"
"2:3,0.65","5:2,0.58","11:8,0.32","22:1,0.78","24:2,0.31","29:8,0.76","36:2,0.61","38:8,0.84","41:2,0.81","46:2,0.61","55:7,0.58","57:3,0.82","66:9,0.87","70:1,0.51","72:5,0.83","81:2,0.66","90:8,0.56","94:6,0.38","97:1,0.74","102:1,0.54","110:5,0.61","121:4,0.48","128:8,0.57"
"2:7,0.76","5:7,0.67","11:1,0.64","22:7,0.52","24:3,0.41","29:6,0.45","36:7,0.88","38:1,0.69","41:3,0.63","46:7,0.54","55:2,0.82","57:7,0.47","66:3,0.82","70:4,0.81","72:1,0.49","81:2,0.8","90:8,0.81","94:3,0.81","97:9,0.89","102:3,0.37","110:8,0.68","120:8,0.37","122:9,0.9"
"2:9,0.6","5:9,0.84","11:2,0.6","22:7,0.56","24:9,0.84","29:3,0.72","36:1,0.5","38:3,0.59","41:5,0.33","46:1,0.78","55:2,0.41","57:5,0.32","66:1,0.79","70:2,0.61","72:3,0.45","81:6,0.32","90:1,0.5","94:9,0.69","97:6,0.56","102:3,0.76","110:2,0.69","120:8,0.54","125:2,0.62"
"2:5,0.34","5:3,0.41","11:2,0.56","22:6,0.83","24:1,0.33","29:5,0.55","36:4,0.37","38:5,0.48","41:6,0.66","46:5,0.46","55:2,0.57","57:8,0.31","66:7,0.54","70:5,0.88","72:3,0.79","81:4,0.35","90:9,0.4","94:4,0.74","97:6,0.6","102:4,0.75","110:5,0.62","120:7,0.39","128:5,0.47"
"2:9,0.55","6:4,0.87","9:3,0.49","16:3,0.52","24:8,0.31","29:7,0.81","36:4,0.76","38:5,0.81","41:9,0.79","47:3,0.73","55:4,0.35","57:3,0.48","66:6,0.55","70:4,0.39","73:1,0.85","82:7,0.41","90:5,0.52","94:1,0.87","97:5,0.61","102:1,0.78","110:9,0.34","121:9,0.79","122:2,0.62"
"2:1,0.87","6:8,0.78","9:4,0.59","16:3,0.88","24:9,0.82","29:2,0.41","36:9,0.89","38:6,0.6","41:1,0.88","47:8,0.8","55:3,0.48","57:9,0.35","66:6,0.4","70:4,0.67","73:4,0.42","82:8,0.76","90:3,0.32","94:9,0.7","97:6,0.35","102:3,0.71","110:5,0.81","121:2,0.35","125:3,0.38"
"2:4,0.8","6:4,0.67","9:4,0.67","16:4,0.81","24:1,0.58","29:5,0.85","36:3,0.65","38:7,0.55","41:1,0.74","47:9,0.51","55:9,0.36","57:6,0.52","66:9,0.43","70:5,0.48","73:9,0.83","82:4,0.81","90:7,0.59","94:9,0.85","97:8,0.48","102:2,0.38","110:3,0.71","121:4,0.61","128:8,0.66"
"2:4,0.81","6:5,0.66","9:2,0.45","16:9,0.34","24:5,0.7","29:2,0.33","36:4,0.56","38:3,0.46","41:4,0.51","47:5,0.71","55:8,0.45","57:1,0.59","66:1,0.87","70:4,0.63","73:5,0.47","82:6,0.73","90:5,0.46","94:8,0.77","97:7,0.33","102:4,0.35","110:7,0.66","120:3,0.39","122:9,0.55"
"2:7,0.38","6:8,0.53","9:5,0.46","16:5,0.66","24:1,0.77","29:7,0.82","36:6,0.58","38:4,0.49","41:6,0.8","47:1,0.89","55:4,0.65","57:4,0.53","66:1,0.78","70:9,0.51","73:9,0.64","82:8,0.68","90:2,0.53","94:8,0.8","97:7,0.64","102:6,0.31","110:8,0.47","120:3,0.58","125:3,0.41"
"2:8,0.86","6:8,0.59","9:2,0.33","16:1,0.3","24:2,0.49","29:3,0.54","36:1,0.83","38:4,0.3","41:2,0.5","47:9,0.4","55:3,0.65","57:7,0.73","66:4,0.82","70:3,0.56","73:3,0.43","82:3,0.75","90:7,0.8","94:6,0.37","97:5,0.33","102:6,0.79","110:6,0.53","120:7,0.75","128:7,0.76"
"2:2,0.33","6:4,0.63","9:7,0.76","16:7,0.69","24:4,0.75","29:4,0.55","36:5,0.64","38:7,0.83","41:4,0.65","47:8,0.69","55:6,0.58","57:9,0.54","66:5,0.66","70:1,0.48","73:5,0.72","86:8,0.38","90:4,0.58","94:4,0.63","97:6,0.47","102:3,0.39","110:6,0.73","121:4,0.79","122:7,0.79"
"2:1,0.89","6:1,0.84","9:8,0.53","16:4,0.48","24:9,0.32","29:8,0.7","36:3,0.39","38:3,0.65","41:3,0.8","47:8,0.77","55:3,0.86","57:5,0.74","66:5,0.4","70:9,0.89","73:9,0.33","86:9,0.65","90:5,0.78","94:7,0.35","97:3,0.51","102:5,0.89","110:4,0.62","121:6,0.63","125:2,0.33"
"2:5,0.39","6:1,0.65","9:3,0.48","16:2,0.49","24:5,0.4","29:6,0.65","36:4,0.6","38:4,0.32","41:1,0.69","47:7,0.63","55:8,0.75","57:2,0.9","66:6,0.8","70:1,0.56","73:4,0.81","86:5,0.34","90:9,0.81","94:4,0.69","97:7,0.68","102:1,0.4","110:2,0.45","121:5,0.9","128:6,0.55"
"2:8,0.89","6:7,0.57","9:9,0.82","16:3,0.4","24:3,0.82","29:8,0.37","36:7,0.73","38:2,0.9","41:2,0.33","47:4,0.46","55:7,0.82","57:3,0.75","66:7,0.6","70:8,0.59","73:3,0.75","86:3,0.62","90:1,0.31","94:6,0.81","97:6,0.7","102:5,0.58","110:3,0.35","120:2,0.5","122:3,0.42"
"2:5,0.73","6:7,0.74","9:4,0.67","16:6,0.78","24:8,0.78","29:4,0.35","36:8,0.85","38:6,0.48","41:6,0.71","47:9,0.75","55:1,0.48","57:5,0.33","66:9,0.72","70:9,0.37","73:7,0.89","86:6,0.86","90:4,0.81","94:1,0.49","97:7,0.51","102:1,0.35","110:9,0.8","120:2,0.32","125:5,0.87"
"2:6,0.36","6:2,0.58","9:9,0.56","16:6,0.72","24:4,0.71","29:3,0.84","36:8,0.43","38:9,0.47","41:4,0.6","47:4,0.42","55:6,0.59","57:1,0.73","66:7,0.63","70:5,0.83","73:2,0.46","86:5,0.38","90:7,0.81","94:6,0.83","97:9,0.68","102:8,0.46","110:8,0.61","120:5,0.53","128:3,0.32"
"2:6,0.32","6:5,0.77","9:6,0.8","16:5,0.65","24:3,0.84","29:8,0.79","36:1,0.76","38:6,0.6","41:1,0.53","47:6,0.56","55:7,0.54","57:2,0.56","66:6,0.55","70:4,0.5","73:2,0.44","81:5,0.3","90:4,0.79","94:7,0.8","97:9,0.65","102:6,0.59","110:9,0.35","121:8,0.36","122:2,0.47"
"2:2,0.8","6:3,0.34","9:1,0.54","16:1,0.75","24:9,0.45","29:8,0.37","36:8,0.33","38:8,0.69","41:8,0.59","47:1,0.34","55:6,0.45","57:6,0.58","66:5,0.85","70:7,0.85","73:6,0.89","81:3,0.68","90:8,0.89","94:7,0.33","97:7,0.36","102:5,0.83","110:3,0.48","121:3,0.47","125:2,0.57"
"2:9,0.53","6:2,0.41","9:7,0.53","16:7,0.48","24:7,0.56","29:1,0.6","36:1,0.68","38:7,0.53","41:4,0.77","47:4,0.49","55:6,0.5","57:9,0.42","66:9,0.32","70:9,0.36","73:4,0.57","81:9,0.5","90:6,0.39","94:8,0.71","97:5,0.61","102:9,0.86","110:1,0.39","121:4,0.35","128:8,0.85"
"2:7,0.57","6:3,0.48","9:9,0.5","16:9,0.47","24:6,0.52","29:6,0.36","36:3,0.36","38:7,0.78","41:7,0.43","47:1,0.85","55:9,0.47","57:1,0.58","66:6,0.5","70:2,0.34","73:2,0.43","81:2,0.68","90:6,0.87","94:4,0.52","97:1,0.74","102:2,0.46","110:3,0.39","120:7,0.82","122:6,0.8"
"2:5,0.72","6:6,0.39","9:7,0.83","16:1,0.64","24:8,0.56","29:5,0.74","36:4,0.51","38:1,0.67","41:1,0.73","47:4,0.32","55:8,0.66","57:7,0.45","66:2,0.61","70:5,0.57","73:1,0.41","81:7,0.82","90:8,0.62","94:9,0.82","97:7,0.62","102:9,0.89","110:4,0.68","120:1,0.79","125:7,0.37"
"2:2,0.34","6:6,0.39","9:6,0.6","16:9,0.64","24:4,0.8","29:6,0.55","36:4,0.61","38:4,0.85","41:9,0.37","47:8,0.4","55:6,0.61","57:4,0.53","66:3,0.51","70:9,0.73","73:8,0.76","81:2,0.76","90:2,0.58","94:6,0.69","97:4,0.38","102:5,0.31","110:6,0.58","120:8,0.88","128:6,0.88"
"2:5,0.66","6:4,0.68","9:8,0.56","16:4,0.47","24:6,0.48","29:8,0.76","36:1,0.74","38:7,0.41","41:9,0.51","47:4,0.72","55:7,0.53","57:7,0.87","66:7,0.65","70:9,0.74","77:4,0.68","82:6,0.65","90:5,0.77","94:8,0.42","97:1,0.6","102:1,0.67","110:1,0.37","121:7,0.49","122:5,0.57"
"2:8,0.52","6:3,0.49","9:4,0.63","16:4,0.64","24:9,0.5","29:6,0.57","36:3,0.77","38:2,0.33","41:8,0.85","47:3,0.3","55:7,0.7","57:3,0.5","66:1,0.81","70:2,0.49","77:9,0.38","82:6,0.6","90:9,0.4","94:4,0.86","97:9,0.43","102:6,0.39","110:9,0.48","121:1,0.61","125:3,0.88"
"2:9,0.84","6:7,0.33","9:3,0.57","16:6,0.33","24:3,0.81","29:6,0.8","36:1,0.32","38:8,0.48","41:2,0.4","47:8,0.6","55:5,0.46","57:7,0.41","66:7,0.48","70:5,0.62","77:3,0.66","82:9,0.39","90:9,0.82","94:7,0.59","97:6,0.78","102:4,0.62","110:4,0.73","121:4,0.59","128:6,0.74"
"2:7,0.32","6:3,0.49","9:4,0.49","16:3,0.35","24:4,0.67","29:3,0.83","36:3,0.42","38:7,0.63","41:9,0.32","47:6,0.31","55:2,0.33","57:5,0.38","66:5,0.33","70:5,0.43","77:9,0.31","82:7,0.45","90:2,0.85","94:9,0.69","97:1,0.37","102:9,0.53","110:2,0.87","120:8,0.77","122:5,0.46"
"2:6,0.33","6:6,0.75","9:1,0.44","16:2,0.68","24:8,0.59","29:4,0.35","36:5,0.63","38:9,0.86","41:2,0.65","47:3,0.72","55:3,0.71","57:6,0.89","66:9,0.87","70:3,0.56","77:7,0.74","82:8,0.65","90:4,0.5","94:7,0.72","97:6,0.81","102:6,0.83","110:8,0.89","120:1,0.57","125:1,0.88"
"2:9,0.75","6:3,0.47","9:8,0.38","16:5,0.88","24:1,0.79","29:9,0.84","36:7,0.43","38:2,0.89","41:8,0.31","47:1,0.65","55:9,0.88","57:6,0.48","66:3,0.64","70:7,0.48","77:5,0.63","82:9,0.32","90:3,0.34","94:9,0.62","97:8,0.82","102:9,0.54","110:8,0.32","120:1,0.51","128:5,0.8"
