"2:7,0.82","3:8,0.52","5:1,0.59","7:7,0.38","9:3,0.38","11:9,0.8","14:3,0.32","16:3,0.41","17:2,0.44","19:1,0.5","22:8,0.67","24:3,0.59","25:3,0.44","28:3,0.67","29:4,0.46","31:4,0.77","34:3,0.39","36:1,0.46","38:7,0.43","40:5,0.47","42:8,0.39","44:9,0.39","46:2,0.88","48:7,0.58","50:7,0.6","52:3,0.59","54:6,0.64","56:9,0.47","58:9,0.53","60:2,0.6","62:6,0.69","64:6,0.56","66:3,0.74","68:8,0.34","70:7,0.6","72:2,0.62","74:1,0.49"
"2:6,0.62","3:9,0.66","5:2,0.47","7:3,0.36","9:9,0.88","12:5,0.84","14:2,0.59","16:6,0.6","17:9,0.35","19:2,0.63","22:4,0.56","24:1,0.58","25:7,0.69","28:4,0.7","29:2,0.76","31:4,0.39","34:8,0.36","36:6,0.62","38:4,0.64","40:2,0.62","42:8,0.44","44:6,0.34","46:6,0.84","48:7,0.84","50:7,0.7","52:8,0.77","54:5,0.85","56:1,0.43","58:8,0.64","60:2,0.61","62:5,0.48","64:8,0.32","66:1,0.49","68:6,0.85","70:5,0.64","72:3,0.37","74:6,0.86"
"2:5,0.71","3:8,0.77","5:6,0.64","7:4,0.52","9:9,0.48","11:7,0.75","14:3,0.76","15:6,0.5","17:3,0.41","19:5,0.54","22:3,0.79","24:9,0.58","25:9,0.72","28:2,0.86","29:7,0.38","31:9,0.69","34:2,0.43","36:1,0.6","38:4,0.39","40:4,0.77","42:4,0.7","44:2,0.74","46:7,0.7","48:2,0.33","50:5,0.53","52:5,0.43","54:3,0.31","56:7,0.37","58:2,0.89","60:5,0.87","62:9,0.54","64:8,0.62","66:6,0.57","69:8,0.59","70:6,0.3","72:2,0.61","74:1,0.41"
"2:6,0.69","3:1,0.63","5:4,0.4","7:5,0.46","9:8,0.77","11:8,0.79","14:6,0.5","16:8,0.79","17:1,0.59","19:1,0.65","22:7,0.35","24:1,0.86","25:9,0.79","28:5,0.88","29:7,0.32","31:5,0.88","34:6,0.54","36:6,0.63","38:5,0.84","40:4,0.71","42:2,0.42","44:6,0.83","46:1,0.58","48:6,0.48","50:2,0.34","52:9,0.76","54:3,0.47","56:1,0.86","58:3,0.76","60:7,0.48","62:7,0.43","64:9,0.79","66:1,0.69","69:2,0.66","70:3,0.52","72:2,0.64","74:3,0.48"
"2:5,0.8","3:2,0.41","5:7,0.72","7:7,0.58","9:7,0.61","12:8,0.58","14:3,0.82","16:8,0.84","17:9,0.78","19:3,0.47","22:9,0.43","24:7,0.79","25:2,0.87","28:2,0.57","29:4,0.69","31:8,0.86","34:2,0.64","36:9,0.87","38:4,0.6","40:8,0.63","42:4,0.4","44:9,0.59","46:7,0.78","48:8,0.58","50:1,0.54","52:4,0.54","54:2,0.59","56:3,0.61","58:1,0.81","60:5,0.57","62:4,0.85","64:8,0.88","66:6,0.41","69:9,0.39","70:1,0.66","72:1,0.67","74:8,0.87"
"2:1,0.5","3:1,0.64","5:8,0.34","7:8,0.76","9:2,0.83","11:2,0.76","14:6,0.75","15:9,0.43","17:5,0.51","19:5,0.8","22:5,0.54","24:8,0.5","25:3,0.36","28:9,0.41","29:2,0.65","31:5,0.43","34:9,0.68","36:3,0.32","38:9,0.67","40:7,0.59","42:2,0.79","44:2,0.76","46:2,0.54","48:2,0.77","51:7,0.63","52:8,0.78","54:6,0.44","56:6,0.43","58:3,0.87","60:1,0.74","62:7,0.8","64:9,0.4","66:2,0.73","68:4,0.9","70:7,0.59","72:6,0.85","74:5,0.67"
"2:2,0.88","3:7,0.72","5:9,0.88","7:2,0.77","10:2,0.68","11:6,0.66","14:8,0.6","15:9,0.35","17:5,0.54","19:9,0.67","22:4,0.57","24:1,0.57","25:1,0.59","28:9,0.4","29:2,0.65","31:8,0.5","34:3,0.68","36:1,0.45","38:6,0.84","40:9,0.6","42:4,0.65","44:2,0.41","46:5,0.62","48:1,0.73","51:8,0.74","52:1,0.76","54:9,0.62","56:2,0.7","58:5,0.58","60:9,0.47","62:4,0.8","64:2,0.69","66:7,0.87","68:8,0.79","70:9,0.89","72:7,0.87","74:9,0.61"
"2:9,0.36","3:7,0.75","5:2,0.61","7:1,0.58","9:1,0.82","11:8,0.57","14:5,0.61","16:2,0.79","17:1,0.35","19:6,0.36","22:7,0.81","24:7,0.77","25:9,0.45","28:3,0.82","29:7,0.86","31:1,0.45","34:2,0.35","36:2,0.87","38:2,0.49","40:1,0.82","42:9,0.6","44:3,0.55","46:8,0.81","48:7,0.84","51:2,0.43","52:5,0.76","54:5,0.84","56:5,0.61","58:8,0.86","60:7,0.66","62:2,0.77","64:6,0.65","66:2,0.4","68:8,0.55","70:8,0.38","72:1,0.5","74:9,0.74"
"2:6,0.51","3:3,0.3","5:5,0.85","8:4,0.58","9:5,0.54","11:1,0.56","14:5,0.6","16:7,0.45","17:6,0.67","19:5,0.46","22:9,0.79","24:4,0.74","25:7,0.65","28:3,0.34","29:3,0.55","31:7,0.78","34:5,0.7","36:7,0.38","38:1,0.42","40:7,0.62","42:5,0.44","44:9,0.85","46:6,0.45","48:8,0.73","51:7,0.89","52:1,0.46","54:1,0.52","56:4,0.5","58:9,0.46","60:6,0.46","62:2,0.38","64:7,0.36","66:6,0.58","68:9,0.38","70:3,0.64","72:9,0.64","74:1,0.43"
"2:9,0.62","3:4,0.52","5:9,0.69","7:2,0.31","9:4,0.76","12:1,0.82","14:9,0.62","16:4,0.4","17:6,0.83","19:3,0.6","22:5,0.68","24:5,0.45","25:5,0.83","28:7,0.7","29:7,0.69","31:5,0.41","34:9,0.5","36:4,0.48","38:1,0.65","40:6,0.36","42:3,0.45","44:8,0.78","46:5,0.41","48:5,0.5","51:3,0.33","52:1,0.87","54:6,0.4","56:3,0.62","58:6,0.9","60:3,0.77","62:8,0.36","64:3,0.6","66:7,0.45","68:7,0.53","70:9,0.79","72:1,0.65","74:1,0.47"
"2:1,0.62","3:5,0.8","5:3,0.79","7:8,0.55","9:6,0.84","11:4,0.78","14:7,0.63","15:3,0.41","17:9,0.64","19:9,0.58","22:4,0.77","24:7,0.89","25:8,0.33","28:7,0.58","29:9,0.61","31:4,0.87","34:3,0.79","36:6,0.67","38:8,0.55","40:6,0.49","42:1,0.33","44:6,0.43","46:9,0.48","48:8,0.31","51:8,0.85","52:4,0.73","54:1,0.5","56:5,0.34","58:2,0.78","60:5,0.86","62:9,0.78","64:3,0.67","66:1,0.69","69:3,0.69","70:1,0.82","72:9,0.32","74:7,0.76"
"2:4,0.53","3:7,0.39","5:2,0.44","7:2,0.44","10:8,0.35","11:7,0.66","14:3,0.34","15:7,0.71","17:6,0.53","19:9,0.58","22:6,0.7","24:7,0.64","25:1,0.64","28:1,0.34","29:9,0.67","31:8,0.82","34:5,0.6","36:2,0.37","38:5,0.79","40:8,0.5","42:7,0.84","44:4,0.61","46:8,0.65","48:4,0.41","51:6,0.54","52:2,0.74","54:1,0.57","56:1,0.6","58:7,0.45","60:7,0.87","62:3,0.75","64:2,0.9","66:3,0.35","69:7,0.89","70:5,0.42","72:7,0.38","74:1,0.45"
"2:5,0.83","3:8,0.61","5:3,0.58","7:9,0.57","9:6,0.8","11:9,0.71","14:6,0.72","16:3,0.43","17:7,0.86","19:1,0.85","22:7,0.38","24:8,0.57","25:9,0.66","28:9,0.42","29:9,0.36","31:9,0.82","34:7,0.38","36:2,0.74","38:7,0.52","40:7,0.8","42:6,0.33","44:3,0.79","46:8,0.64","48:2,0.57","51:2,0.77","52:5,0.89","54:7,0.66","56:9,0.59","58:2,0.35","60:6,0.54","62:8,0.44","64:9,0.53","66:8,0.59","69:4,0.51","70:8,0.56","72:4,0.64","74:7,0.39"
"2:9,0.44","3:3,0.74","5:2,0.53","7:2,0.53","9:3,0.79","12:7,0.55","14:2,0.61","16:4,0.67","17:5,0.51","19:7,0.48","22:3,0.68","24:3,0.66","25:1,0.82","28:7,0.57","29:4,0.82","31:6,0.6","34:6,0.75","36:5,0.32","38:4,0.64","40:9,0.69","42:7,0.76","44:6,0.5","46:1,0.87","48:2,0.34","51:4,0.64","52:5,0.79","54:5,0.65","56:5,0.37","58:1,0.81","60:5,0.81","62:4,0.58","64:3,0.83","66:7,0.36","69:9,0.73","70:9,0.38","72:8,0.77","74:4,0.4"
"2:7,0.72","3:7,0.82","5:3,0.32","7:6,0.56","9:1,0.74","11:8,0.54","14:8,0.53","15:8,0.38","17:3,0.48","19:5,0.61","22:7,0.56","24:1,0.62","25:9,0.43","28:2,0.42","29:2,0.46","31:4,0.44","34:6,0.7","36:4,0.72","38:6,0.31","40:2,0.81","42:1,0.44","44:5,0.84","46:2,0.85","48:4,0.44","50:3,0.46","52:6,0.58","54:9,0.43","56:8,0.66","58:8,0.3","60:7,0.42","62:3,0.65","64:9,0.63","66:6,0.86","69:5,0.69","70:7,0.8","73:3,0.35","74:2,0.42"
"2:3,0.3","3:2,0.88","5:5,0.39","7:6,0.31","9:2,0.78","11:7,0.61","14:7,0.62","16:8,0.44","17:6,0.56","19:2,0.55","22:9,0.75","24:5,0.86","25:4,0.73","28:8,0.69","29:5,0.76","31:5,0.3","34:2,0.73","36:1,0.52","38:3,0.84","40:5,0.43","42:7,0.44","44:1,0.83","46:3,0.56","48:7,0.66","50:4,0.86","52:9,0.81","54:8,0.59","56:7,0.44","58:4,0.41","60:2,0.61","62:5,0.43","64:4,0.39","66:8,0.51","69:1,0.71","70:1,0.63","73:7,0.31","74:5,0.88"
"2:8,0.54","3:4,0.45","5:2,0.7","7:8,0.77","9:9,0.54","12:6,0.85","14:7,0.84","16:4,0.36","17:6,0.49","19:4,0.32","22:2,0.77","24:7,0.35","25:1,0.79","28:7,0.58","29:9,0.34","31:6,0.33","34:5,0.78","36:9,0.75","38:8,0.34","40:3,0.66","42:7,0.44","44:5,0.68","46:2,0.49","48:5,0.39","50:8,0.6","52:6,0.8","54:4,0.61","56:3,0.8","58:5,0.47","60:3,0.67","62:4,0.45","64:6,0.46","66:7,0.4","69:7,0.71","70:7,0.88","73:8,0.49","74:1,0.35"
"2:3,0.33","3:5,0.47","5:4,0.33","7:1,0.49","9:6,0.66","11:3,0.84","14:5,0.36","15:7,0.58","17:5,0.88","19:4,0.38","22:4,0.37","24:1,0.77","25:7,0.69","28:3,0.8","29:3,0.34","31:4,0.4","34:1,0.47","36:3,0.48","38:2,0.47","40:2,0.57","42:8,0.65","44:4,0.44","46:4,0.67","48:3,0.73","51:6,0.42","52:9,0.36","54:2,0.79","56:3,0.81","58:4,0.55","60:9,0.87","62:2,0.74","64:1,0.85","66:6,0.38","69:2,0.74","70:2,0.69","73:3,0.54","74:2,0.59"
"2:4,0.38","3:3,0.72","5:4,0.73","7:7,0.6","9:9,0.52","11:2,0.54","14:3,0.58","15:6,0.48","17:3,0.8","19:7,0.68","22:2,0.54","24:1,0.43","25:1,0.33","28:7,0.65","29:5,0.48","33:3,0.52","34:6,0.41","36:1,0.43","38:5,0.89","40:4,0.7","42:6,0.46","44:8,0.46","46:4,0.47","48:2,0.58","50:9,0.6","52:1,0.33","54:8,0.34","56:3,0.34","58:8,0.36","60:2,0.76","62:9,0.39","64:4,0.85","66:7,0.69","68:5,0.39","70:1,0.84","72:1,0.84","74:7,0.88"
"2:6,0.75","3:5,0.6","5:4,0.66","7:1,0.53","9:7,0.48","11:2,0.81","14:9,0.65","15:8,0.46","17:2,0.49","19:8,0.7","22:3,0.42","24:6,0.89","25:2,0.42","28:2,0.32","29:7,0.86","33:5,0.88","34:6,0.67","36:8,0.58","38:8,0.51","40:4,0.33","42:7,0.76","44:2,0.89","46:1,0.83","48:8,0.86","51:2,0.56","52:8,0.84","54:7,0.73","56:4,0.88","58:3,0.76","60:5,0.63","62:8,0.38","64:1,0.5","66:7,0.62","68:1,0.6","70:7,0.72","72:2,0.84","74:6,0.51"
"2:1,0.35","3:6,0.86","5:4,0.61","7:6,0.42","9:4,0.48","11:7,0.69","14:5,0.86","15:8,0.7","18:7,0.71","20:5,0.72","22:8,0.41","23:2,0.5","25:9,0.57","28:3,0.87","29:1,0.31","31:9,0.79","34:9,0.57","36:7,0.45","38:5,0.37","40:8,0.73","42:4,0.56","44:3,0.86","46:2,0.75","48:2,0.44","50:8,0.36","52:6,0.66","54:2,0.81","56:4,0.39","58:8,0.65","60:6,0.65","62:2,0.54","64:2,0.4","66:2,0.72","68:7,0.86","70:2,0.33","72:9,0.5","74:2,0.67"
"2:8,0.89","3:7,0.69","5:5,0.86","7:7,0.59","9:2,0.64","12:2,0.48","14:1,0.48","15:7,0.6","18:2,0.5","20:5,0.75","22:7,0.57","23:2,0.5","25:9,0.74","28:3,0.56","29:3,0.56","31:3,0.41","34:7,0.48","36:1,0.66","38:5,0.86","40:2,0.59","42:3,0.51","44:4,0.39","46:2,0.65","48:2,0.65","50:5,0.5","52:7,0.59","54:6,0.65","56:7,0.54","58:2,0.46","60:7,0.41","62:8,0.56","64:5,0.5","66:5,0.77","68:5,0.89","70:3,0.72","72:2,0.7","74:4,0.31"
"2:8,0.7","3:8,0.64","5:6,0.43","7:7,0.45","9:4,0.31","11:9,0.72","14:1,0.31","16:7,0.75","18:6,0.84","20:2,0.63","22:1,0.49","23:6,0.64","25:6,0.67","28:7,0.87","29:6,0.78","31:4,0.62","34:3,0.36","36:8,0.57","38:1,0.32","40:9,0.38","42:7,0.87","44:1,0.31","46:4,0.55","48:7,0.45","50:5,0.56","52:3,0.35","54:3,0.59","56:8,0.55","58:6,0.76","60:4,0.32","62:8,0.58","64:1,0.86","66:4,0.46","68:8,0.46","70:7,0.49","72:4,0.77","74:3,0.32"
"2:1,0.41","3:6,0.56","5:4,0.43","7:4,0.75","9:6,0.77","12:7,0.35","14:5,0.82","16:6,0.62","18:2,0.78","20:2,0.75","22:3,0.42","23:2,0.61","25:9,0.56","28:8,0.46","29:3,0.45","31:1,0.49","34:5,0.34","36:6,0.33","38:8,0.34","40:5,0.43","42:8,0.46","44:4,0.41","46:6,0.46","48:6,0.44","50:1,0.3","52:5,0.55","54:7,0.59","56:1,0.48","58:6,0.78","60:8,0.35","62:9,0.62","64:7,0.61","66:3,0.68","68:6,0.86","70:6,0.35","72:3,0.77","74:6,0.38"
"2:1,0.41","3:7,0.56","5:2,0.71","7:3,0.81","9:7,0.84","11:9,0.62","14:7,0.46","15:1,0.68","18:4,0.59","20:3,0.36","22:2,0.4","23:4,0.42","25:5,0.58","28:3,0.39","29:6,0.42","31:4,0.75","34:3,0.69","36:9,0.78","38:3,0.61","40:9,0.42","42:6,0.72","44:9,0.58","46:1,0.8","48:3,0.82","50:2,0.82","52:9,0.66","54:3,0.76","56:5,0.84","58:4,0.88","60:6,0.41","62:7,0.53","64:6,0.74","66:9,0.87","69:2,0.42","70:5,0.79","72:4,0.44","74:7,0.81"
"2:8,0.34","3:8,0.43","5:4,0.4","7:4,0.45","9:8,0.86","12:5,0.74","14:2,0.75","15:9,0.77","18:7,0.31","20:9,0.51","22:2,0.71","23:4,0.36","25:1,0.43","28:9,0.82","29:7,0.5","31:8,0.55","34:8,0.86","36:2,0.32","38:3,0.78","40:4,0.82","42:5,0.54","44:1,0.32","46:9,0.58","48:8,0.83","50:6,0.54","52:5,0.87","54:9,0.46","56:9,0.57","58:9,0.67","60:6,0.6","62:9,0.55","64:4,0.64","66:8,0.89","69:1,0.56","70:5,0.88","72:6,0.69","74:5,0.83"
"2:7,0.83","3:7,0.86","5:9,0.82","7:8,0.88","9:6,0.89","12:6,0.55","14:1,0.73","16:1,0.65","18:8,0.49","20:4,0.58","22:4,0.62","23:4,0.51","25:1,0.72","28:6,0.77","29:9,0.53","31:5,0.62","34:1,0.59","36:8,0.7","38:7,0.88","40:9,0.53","42:2,0.31","44:6,0.82","46:7,0.87","48:9,0.44","50:5,0.75","52:2,0.37","54:5,0.83","56:4,0.44","58:7,0.55","60:2,0.56","62:8,0.38","64:3,0.47","66:8,0.55","69:4,0.66","70:9,0.45","72:2,0.84","74:2,0.8"
"2:6,0.87","3:3,0.45","5:2,0.61","7:5,0.72","9:7,0.57","11:6,0.44","14:5,0.78","15:5,0.47","18:2,0.81","20:3,0.7","22:6,0.33","24:7,0.65","25:5,0.57","28:1,0.81","29:5,0.78","31:3,0.7","34:5,0.53","36:8,0.62","38:9,0.76","40:5,0.89","42:4,0.85","44:4,0.58","46:9,0.33","48:5,0.41","50:6,0.5","52:1,0.65","54:6,0.46","56:6,0.48","58:6,0.39","60:6,0.65","62:7,0.47","64:3,0.47","66:9,0.42","68:3,0.72","70:3,0.76","72:4,0.85","74:8,0.46"
"2:7,0.81","3:5,0.63","5:8,0.49","7:1,0.42","9:3,0.52","12:5,0.37","14:5,0.33","15:6,0.58","18:6,0.73","20:6,0.66","22:6,0.36","24:2,0.4","25:9,0.32","28:2,0.86","29:6,0.73","31:2,0.49","34:9,0.52","36:4,0.54","38:4,0.63","40:7,0.78","42:8,0.52","44:8,0.47","46:2,0.65","48:3,0.46","50:6,0.67","52:2,0.5","54:9,0.35","56:3,0.39","58:3,0.38","60:1,0.66","62:8,0.52","64:3,0.4","66:8,0.75","68:2,0.66","70:8,0.76","72:7,0.69","74:1,0.67"
"2:4,0.57","3:4,0.86","5:9,0.55","7:8,0.61","9:7,0.4","12:8,0.75","14:3,0.6","16:1,0.5","18:6,0.51","20:3,0.44","22:8,0.39","24:8,0.31","25:8,0.62","28:7,0.46","29:2,0.44","31:4,0.86","34:7,0.78","36:2,0.75","38:5,0.52","40:4,0.73","42:9,0.84","44:8,0.46","46:2,0.49","48:9,0.67","50:3,0.8","52:6,0.46","54:1,0.41","56:5,0.74","58:8,0.79","60:2,0.8","62:7,0.46","64:2,0.47","66:6,0.45","68:8,0.84","70:4,0.56","72:7,0.33","74:1,0.71"
"2:5,0.3","3:3,0.51","5:4,0.46","7:6,0.58","9:7,0.84","11:9,0.61","14:8,0.36","15:2,0.67","18:5,0.37","20:2,0.32","22:2,0.75","24:6,0.31","25:2,0.54","28:2,0.5","29:8,0.41","31:2,0.83","34:7,0.34","36:7,0.85","38:5,0.86","40:5,0.72","42:3,0.39","44:3,0.88","46:8,0.52","48:5,0.74","50:1,0.65","52:4,0.84","54:6,0.61","56:3,0.38","58:5,0.82","60:2,0.8","62:5,0.82","64:2,0.87","66:3,0.35","69:9,0.34","70:9,0.7","72:6,0.6","74:2,0.53"
"2:4,0.81","3:1,0.43","5:2,0.32","7:4,0.42","9:8,0.3","11:6,0.76","14:6,0.52","16:6,0.44","18:7,0.46","20:3,0.82","22:4,0.71","24:2,0.37","25:6,0.53","28:8,0.86","29:6,0.86","31:1,0.82","34:5,0.32","36:7,0.55","38:8,0.66","40:2,0.85","42:8,0.62","44:8,0.48","46:5,0.87","48:9,0.74","50:1,0.43","52:7,0.9","54:8,0.69","56:4,0.34","58:8,0.67","60:6,0.83","62:7,0.85","64:1,0.55","66:1,0.36","69:5,0.87","70:9,0.77","72:8,0.87","74:3,0.41"
"2:1,0.56","3:8,0.72","5:9,0.76","7:9,0.47","9:1,0.76","11:9,0.82","14:7,0.82","15:7,0.59","18:3,0.63","20:8,0.49","22:3,0.82","24:2,0.72","25:3,0.77","28:7,0.64","29:9,0.63","31:8,0.68","34:4,0.62","36:4,0.46","38:4,0.63","40:4,0.89","42:2,0.47","44:6,0.9","46:5,0.51","48:9,0.36","50:6,0.67","52:5,0.33","54:9,0.66","56:9,0.31","58:6,0.43","60:9,0.39","62:8,0.38","64:7,0.35","66:9,0.9","68:8,0.8","70:8,0.77","73:6,0.36","74:5,0.87"
"2:8,0.85","3:9,0.77","5:4,0.9","7:9,0.41","9:1,0.48","11:2,0.65","14:3,0.47","15:6,0.31","18:7,0.45","20:3,0.44","22:5,0.37","24:9,0.57","25:1,0.4","28:2,0.34","29:8,0.5","31:1,0.82","34:3,0.31","36:3,0.45","38:7,0.33","40:7,0.41","42:7,0.42","44:3,0.57","46:3,0.74","48:7,0.37","50:9,0.49","52:4,0.42","54:2,0.45","56:1,0.32","58:3,0.33","60:6,0.63","62:1,0.71","64:8,0.53","66:4,0.63","69:4,0.53","70:3,0.66","73:7,0.37","74:2,0.62"
"2:8,0.53","3:5,0.6","5:3,0.72","7:8,0.72","9:9,0.71","11:1,0.9","14:9,0.72","15:6,0.77","18:9,0.5","20:1,0.69","22:1,0.89","24:2,0.33","25:3,0.56","28:8,0.45","29:7,0.47","33:1,0.65","34:8,0.5","36:7,0.43","38:1,0.31","40:1,0.42","42:1,0.84","44:5,0.61","46:9,0.48","48:9,0.66","50:5,0.68","52:4,0.35","54:8,0.61","56:8,0.63","58:6,0.43","60:6,0.56","62:9,0.41","64:8,0.35","66:8,0.52","68:8,0.54","70:6,0.43","72:3,0.74","74:2,0.49"
"2:2,0.43","3:3,0.8","5:5,0.74","7:7,0.48","9:9,0.65","11:6,0.55","14:9,0.57","15:2,0.46","17:5,0.39","19:7,0.74","22:2,0.67","23:2,0.31","25:3,0.78","28:6,0.6","29:3,0.67","31:6,0.5","34:4,0.72","36:1,0.69","38:6,0.43","40:9,0.89","42:8,0.79","44:5,0.45","46:3,0.84","49:4,0.77","50:6,0.86","52:6,0.34","54:9,0.34","56:2,0.47","58:3,0.7","60:3,0.37","62:1,0.86","64:1,0.64","66:1,0.33","68:4,0.58","70:4,0.72","72:9,0.57","74:2,0.46"
"2:2,0.84","3:6,0.69","5:9,0.43","7:8,0.47","9:6,0.66","11:3,0.45","14:6,0.89","15:9,0.84","17:3,0.4","19:5,0.41","22:4,0.53","24:9,0.43","25:3,0.48","28:1,0.65","29:4,0.31","31:3,0.81","34:8,0.85","36:5,0.57","38:2,0.6","40:1,0.87","42:3,0.48","44:9,0.47","46:4,0.59","49:1,0.58","50:8,0.47","52:3,0.7","54:1,0.63","56:5,0.47","58:1,0.7","60:8,0.35","62:4,0.76","64:6,0.68","66:8,0.8","68:3,0.62","70:2,0.58","72:4,0.76","74:4,0.81"
"2:6,0.8","3:9,0.81","5:2,0.79","7:7,0.75","9:6,0.79","11:8,0.67","13:3,0.59","15:9,0.37","17:7,0.48","19:4,0.64","22:6,0.36","23:4,0.55","25:3,0.44","28:5,0.33","29:1,0.74","31:5,0.49","34:6,0.68","36:2,0.82","38:6,0.69","40:8,0.87","42:8,0.31","44:1,0.8","46:4,0.51","48:8,0.45","50:2,0.41","52:9,0.45","55:9,0.68","56:3,0.79","58:4,0.71","60:6,0.37","62:3,0.73","64:4,0.76","66:4,0.35","68:6,0.5","70:8,0.89","72:2,0.76","74:6,0.47"
"2:4,0.6","3:3,0.45","5:9,0.46","7:6,0.62","9:1,0.6","12:4,0.77","13:2,0.69","16:6,0.31","17:1,0.78","19:2,0.82","22:3,0.61","23:5,0.59","25:4,0.71","28:5,0.81","29:1,0.51","31:8,0.57","34:6,0.82","36:7,0.42","38:4,0.34","40:4,0.5","42:4,0.41","44:3,0.42","46:6,0.6","48:1,0.41","50:9,0.45","52:6,0.76","55:2,0.75","56:7,0.36","58:4,0.42","60:4,0.65","62:3,0.3","64:7,0.31","66:5,0.76","68:5,0.85","70:1,0.46","72:6,0.81","74:8,0.53"
"2:3,0.42","3:3,0.42","5:3,0.53","7:1,0.66","9:8,0.44","11:2,0.77","13:1,0.89","15:9,0.33","17:5,0.9","19:1,0.38","22:5,0.9","23:3,0.77","25:8,0.69","28:7,0.68","29:6,0.49","31:4,0.57","34:2,0.34","36:1,0.37","38:2,0.7","40:6,0.74","42:3,0.77","44:8,0.68","46:6,0.66","48:8,0.72","50:7,0.78","52:6,0.47","55:1,0.43","56:3,0.48","58:9,0.67","60:3,0.44","62:3,0.77","64:2,0.9","66:5,0.89","69:2,0.32","70:9,0.38","72:3,0.47","74:1,0.4"
"2:6,0.82","3:2,0.41","5:9,0.59","7:4,0.62","9:5,0.5","12:5,0.66","13:4,0.89","16:9,0.6","17:6,0.89","19:2,0.53","22:8,0.76","23:3,0.48","25:5,0.44","28:9,0.38","29:6,0.47","31:9,0.4","34:7,0.41","36:2,0.5","38:9,0.39","40:7,0.37","42:2,0.61","44:1,0.41","46:8,0.82","48:1,0.72","50:4,0.33","52:5,0.45","55:6,0.69","56:5,0.31","58:5,0.85","60:2,0.38","62:9,0.36","64:5,0.47","66:5,0.39","69:1,0.87","70:5,0.84","72:5,0.3","74:2,0.68"
"2:5,0.66","3:8,0.54","5:3,0.45","7:7,0.63","9:8,0.61","11:2,0.69","13:1,0.49","15:1,0.89","17:5,0.56","19:5,0.68","22:3,0.6","23:3,0.6","25:4,0.62","28:1,0.43","29:6,0.31","31:8,0.59","34:3,0.59","36:1,0.8","38:9,0.7","40:1,0.64","42:2,0.78","44:7,0.38","46:7,0.69","48:8,0.85","51:3,0.68","52:1,0.36","55:1,0.8","56:2,0.87","58:5,0.31","60:4,0.76","62:7,0.76","64:9,0.5","66:4,0.47","68:9,0.4","70:4,0.46","72:3,0.68","74:5,0.46"
"2:7,0.78","3:5,0.71","5:5,0.47","7:8,0.85","9:1,0.79","11:9,0.83","13:1,0.66","15:1,0.86","17:7,0.51","19:7,0.44","22:5,0.35","23:7,0.55","25:5,0.84","28:6,0.69","29:4,0.55","31:8,0.37","34:8,0.59","36:2,0.59","38:1,0.35","40:2,0.74","42:4,0.46","44:5,0.7","46:7,0.5","48:2,0.41","51:9,0.58","52:2,0.65","55:3,0.57","56:8,0.54","58:9,0.77","60:2,0.7","62:4,0.37","64:6,0.53","66:2,0.67","69:4,0.43","70:9,0.48","72:4,0.76","74:1,0.85"
"2:1,0.46","3:5,0.72","5:5,0.76","7:2,0.78","9:9,0.82","11:1,0.62","13:2,0.83","15:7,0.82","17:4,0.79","19:3,0.36","22:3,0.36","23:4,0.34","25:2,0.86","28:1,0.53","29:8,0.45","31:9,0.73","34:1,0.42","37:1,0.59","38:6,0.55","40:2,0.35","42:9,0.7","44:1,0.7","46:5,0.74","48:1,0.55","50:7,0.87","52:5,0.76","55:2,0.57","56:6,0.49","58:7,0.61","60:6,0.66","62:6,0.89","64:7,0.67","66:3,0.51","68:7,0.55","70:7,0.42","72:1,0.45","74:7,0.77"
"2:7,0.73","3:9,0.68","5:1,0.44","7:3,0.85","9:6,0.43","11:1,0.53","13:5,0.64","15:9,0.51","17:8,0.64","19:2,0.75","22:9,0.32","23:9,0.43","25:3,0.73","28:5,0.86","29:9,0.89","31:8,0.55","34:7,0.36","37:4,0.4","38:9,0.63","40:4,0.43","42:7,0.83","44:7,0.57","46:1,0.31","48:8,0.87","50:2,0.85","52:8,0.57","55:6,0.8","56:1,0.82","58:2,0.62","60:9,0.76","62:5,0.41","64:1,0.8","66:9,0.31","69:6,0.78","70:4,0.35","72:2,0.85","74:8,0.77"
"2:4,0.36","3:2,0.32","5:2,0.83","7:1,0.31","9:7,0.58","12:4,0.49","13:8,0.32","16:8,0.56","18:4,0.35","20:8,0.87","22:2,0.42","23:7,0.79","25:1,0.89","28:7,0.31","29:8,0.78","31:5,0.4","34:1,0.87","36:7,0.38","38:9,0.36","40:6,0.36","42:6,0.65","44:3,0.51","46:5,0.84","48:1,0.63","50:8,0.63","52:2,0.49","55:9,0.46","56:9,0.31","58:2,0.45","60:9,0.32","62:2,0.38","64:6,0.31","66:8,0.5","68:6,0.33","70:9,0.33","72:9,0.33","74:6,0.52"
